,site,eastings,northings,latitude,longitude
449,GG065A,264340,665402,55.86270941628684,-4.167884175977847
450,GG065B,264343,665381,55.862521690548114,-4.167825767803641
451,GG070U,264692,665340,55.86225159078268,-4.162232688430245
452,GG070U,264692,665361,55.86244016126188,-4.162243167138785
453,GG075U,265226,665334,55.862347265771206,-4.15370313121536
454,GG080U,265603,665312,55.86225494110754,-4.147672489106405
455,GG080U,265601,665330,55.8624160170362,-4.147713345423865
456,GG090A,266336,665109,55.86063581072461,-4.135868215705843
457,GG090B,266333,665090,55.860464364769946,-4.135906751699515
458,GG0951,266758,664904,55.85891175220279,-4.12902944143997
459,GG097U,266531,664811,55.85801386513631,-4.132608013852129
