From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GD1401,GD143B,L,GD1401,GD143B_L,FALSE,254600,667707,254588,667848
GD1501,GD1451,D,GD1501,GD1451_D,FALSE,254632,668251,254609,668039
GD143B,GD1451,H,GD143B,GD1451_H,FALSE,254588,667848,254609,668039
GD205A,GD200A,R,GD205A,GD200A_R,FALSE,258112,666726,258131,666585
GA0351,GD200A,S,GA0351,GD200A_S,FALSE,258164,666469,258131,666585
GD207A,GD205A,A,GD207A,GD205A_A,FALSE,258030,666951,258112,666726
GD200A,GD205A,B,GD200A,GD205A_B,FALSE,258131,666585,258112,666726
GA1321,GA1051,S,GA1321,GA1051_S,FALSE,258526,665350,258433,665365
GD2091,GD207A,T,GD2091,GD207A_T,FALSE,258007,667133,258030,666951
GD205A,GD207A,S,GD205A,GD207A_S,FALSE,258112,666726,258030,666951
GD207A,GD2091,B,GD207A,GD2091_B,FALSE,258030,666951,258007,667133
GD210A,GD2091,R,GD210A,GD2091_R,FALSE,257997,667243,258007,667133
GD2151,GD210A,A,GD2151,GD210A_A,FALSE,257949,667543,257997,667243
GD2091,GD210A,C,GD2091,GD210A_C,FALSE,258007,667133,257997,667243
GD217A,GD2151,R,GD217A,GD2151_R,FALSE,257793,667631,257949,667543
GD210A,GD2151,S,GD210A,GD2151_S,FALSE,257997,667243,257949,667543
GD2251,GD217A,A,GD2251,GD217A_A,FALSE,257544,667806,257793,667631
GD2151,GD217A,B,GD2151,GD217A_B,FALSE,257949,667543,257793,667631
GD2301,GD2251,R,GD2301,GD2251_R,FALSE,257438,668044,257544,667806
GD217A,GD2251,S,GD217A,GD2251_S,FALSE,257793,667631,257544,667806
GD237A,GD2301,A,GD237A,GD2301_A,FALSE,257310,668192,257438,668044
GD2251,GD2301,B,GD2251,GD2301_B,FALSE,257544,667806,257438,668044
GD2451,GD237A,R,GD2451,GD237A_R,FALSE,257096,668449,257310,668192
GD2301,GD237A,S,GD2301,GD237A_S,FALSE,257438,668044,257310,668192
GD255A,GD2451,A,GD255A,GD2451_A,FALSE,256892,668752,257096,668449
GD237A,GD2451,B,GD237A,GD2451_B,FALSE,257310,668192,257096,668449
GD2601,GD255A,R,GD2601,GD255A_R,FALSE,256627,668932,256892,668752
GD2451,GD255A,S,GD2451,GD255A_S,FALSE,257096,668449,256892,668752
GA1251,GA1201,D,GA1251,GA1201_D,FALSE,258682,666368,258651,666192
GA1451,GA1201,B,GA1451,GA1201_B,FALSE,258729,666097,258651,666192
GA1451,GA1201,H,GA1451,GA1201_H,FALSE,258729,666097,258651,666192
GD2651,GD2601,A,GD2651,GD2601_A,FALSE,256434,669155,256627,668932
GD255A,GD2601,B,GD255A,GD2601_B,FALSE,256892,668752,256627,668932
GD2701,GD2651,R,GD2701,GD2651_R,FALSE,256322,669437,256434,669155
GD271A,GD2701,A,GD271A,GD2701_A,FALSE,256232,669605,256322,669437
GD2651,GD2701,B,GD2651,GD2701_B,FALSE,256434,669155,256322,669437
GD2721,GD271A,F,GD2721,GD271A_F,FALSE,256122,669751,256232,669605
GD2701,GD271A,E,GD2701,GD271A_E,FALSE,256322,669437,256232,669605
GD271A,GD2721,S,GD271A,GD2721_S,FALSE,256232,669605,256122,669751
GA1251,GD3051,B,GA1251,GD3051_B,FALSE,258682,666368,258585,666900
GD310A,GD3051,E,GD310A,GD3051_E,FALSE,258833,667209,258585,666900
GE0101,GD310A,R,GE0101,GD310A_R,FALSE,259054,667279,258833,667209
GD3051,GD310A,S,GD3051,GD310A_S,FALSE,258585,666900,258833,667209
GD5601,GD5401,D,GD5601,GD5401_D,FALSE,251090,670690,251366,670337
GD5401,GD5601,R,GD5401,GD5601_R,FALSE,251366,670337,251090,670690
GE015A,GE0101,A,GE015A,GE0101_A,FALSE,259075,667630,259054,667279
GD310A,GE0101,F,GD310A,GE0101_F,FALSE,258833,667209,259054,667279
GD310A,GE0101,D,GD310A,GE0101_D,FALSE,258833,667209,259054,667279
GD3051,GA1251,R,GD3051,GA1251_R,FALSE,258585,666900,258682,666368
GA1201,GA1251,T,GA1201,GA1251_T,FALSE,258651,666192,258682,666368
GE0101,GE015A,M,GE0101,GE015A_M,FALSE,259054,667279,259075,667630
GE020A,GE015A,N,GE020A,GE015A_N,FALSE,259085,667783,259075,667630
GE015A,GE020A,P,GE015A,GE020A_P,FALSE,259075,667630,259085,667783
GE025A,GE020A,Q,GE025A,GE020A_Q,FALSE,259086,667926,259085,667783
